time,load@tsung_controller@90c4072c0a63 
0,0.6796875 
10,0.6796875 
20,0.609375 
30,0.51953125 
40,0.51953125 
50,0.51953125 
60,0.51953125 
71,0.51953125 
80,0.4609375 
90,0.390625 
100,0.390625 
110,0.390625 
120,0.390625 
130,0.390625 
