time,size_sent,size_rcv 
0,0.46484375,2.74453125 
10,1.5421875,8.7203125 
20,3.6125,20.76328125 
30,6.21875,36.00234375 
40,10.059375,55.7234375 
50,13.584375,72.75 
60,18.15078125,95.93203125 
71,25.90234375,136.32734375 
80,35.7671875,187.39296875 
90,43.9390625,231.3328125 
100,48.75703125,255.8171875 
110,50.83203125,266.434375 
120,52.534375,274.3765625 
130,53.17265625,277.725 
