time,tr_fluxo_compra,tr_fluxo_navegacao,page 
50,29769.393,19643.3042,518.0297631578948 
60,25803.208,17079.596999999998,648.1099298245616 
71,34054.50766666667,14161.744749999998,524.9734845360825 
80,33184.197,18952.23338461539,533.6000655737706 
90,29164.343,17763.374769230777,569.7456701030926 
100,31301.80457142857,23731.36227272727,481.27738461538473 
110,39312.717,30317.1268,651.7434761904763 
120,42529.88533333333,35511.66,630.3297333333333 
130,59509.60999999999,0,867.0991666666667 
