time,200 
0,0.8 
10,1.7 
20,3.2 
30,3.9 
40,4.4 
50,3.8 
60,5.7 
71,9.7 
80,12.2 
90,9.7 
100,5.2 
110,2.1 
120,1.5 
130,0.6 
