time,connect,request 
0,436.675,139.551 
10,419.655,136.312 
20,415.871,134.575 
30,415.871,133.823 
40,415.871,132.596 
50,415.871,132.596 
60,415.871,132.596 
70,409.451,132.596 
80,409.451,132.596 
90,409.451,132.596 
100,409.451,132.596 
110,409.451,132.596 
120,409.451,132.596 
122,409.451,132.596 
