time,connect,request 
0,148.82341651044032,324.4515688889055 
10,34.34698953745022,425.42135274461384 
20,23.950407808375605,493.8952279101762 
30,40.77749386059691,564.4812467512688 
40,459.77310751989404,521.5370211415285 
50,28.089173529236408,651.4971273890858 
60,21.11684493962302,777.0972708559901 
70,19.10792145053981,590.028455876416 
80,48.32787994040942,456.3727674475061 
90,20.061414173482422,525.3305160796918 
100,0,466.5493333715631 
110,0,548.7568903701597 
120,0,412.7042531831239 
122,0,0 
