time,200,502 
0,6, 
10,37, 
20,78, 
30,120, 
40,164, 
50,199,1 
60,218,1 
70,294,1 
80,414,2 
90,524,2 
100,578,3 
110,618,3 
120,623,3 
122,623,3 
