time,freemem@tsung_controller@3e43ea4093fb 
0,6811.0703125 
10,6805.09375 
20,6804.36328125 
30,6802.88671875 
40,6802.88671875 
50,6802.88671875 
60,6802.88671875 
70,6799.30859375 
80,6793.15625 
90,6792.69140625 
100,6791.921875 
110,6784.56640625 
120,6784.56640625 
122,6783.48828125 
