time,connect,request 
0,0.5,0.6 
10,0.7,3.1 
20,0.4,4.1 
30,0.7,4.2 
40,0.4,4.4 
50,0.3,3.6 
60,0.7,1.9 
70,2.5,7.6 
80,1.9,12.1 
90,0.5,11 
100,0,5.5 
110,0,4 
120,0,0.5 
122,0,0 
