time,connected,users 
0,5,7 
10,7,12 
20,1,15 
30,1,16 
40,-1,17 
50,-5,17 
60,2,17 
70,23,34 
80,5,41 
90,-9,41 
100,-13,41 
110,-11,41 
120,-5,41 
122,0,41 
