time,load@tsung_controller@3e43ea4093fb 
0,0.12109375 
10,0.171875 
20,0.171875 
30,0.171875 
40,0.171875 
50,0.171875 
60,0.171875 
70,0.171875 
80,0.171875 
90,0.23828125 
100,0.23828125 
110,0.328125 
120,0.328125 
122,0.328125 
