time,tr_fluxo_navegacao,page,tr_fluxo_compra 
20,12140.716,134.575, 
30,12140.716,133.823,24499.348 
40,10887.774,132.596,24499.348 
50,10887.774,132.596,18262.182 
60,10887.774,132.596,18262.182 
70,10887.774,132.596,18262.182 
80,9343.162,132.596,18262.182 
90,6689.705,132.596,18262.182 
100,6689.705,132.596,18262.182 
110,6689.705,132.596,18262.182 
120,6689.705,132.596,18262.182 
122,6689.705,132.596,18262.182 
