time,connect,request 
0,823.677,968.649 
10,823.677,1778.495 
20,823.677,1778.495 
30,823.677,2246.883 
40,1532.163,2381.303 
50,1532.163,2867.35 
60,1532.163,3465.969 
70,1532.163,3465.969 
80,1532.163,3465.969 
90,1532.163,3465.969 
100,1532.163,3465.969 
110,1532.163,3465.969 
120,1532.163,3465.969 
122,1532.163,3465.969 
