time,cpu@tsung_controller@3e43ea4093fb 
0,5.752643255376691 
10,3.911457678279462 
20,3.109656301145663 
30,2.994087306579444 
40,4.723516815719863 
50,4.200302724520686 
60,2.9056603773584904 
70,2.9715436917652984 
80,5.73562927323373 
90,5.5190704723415 
100,5.999492643328259 
110,4.269521410579345 
120,3.7429111531190924 
122,3.4430571320469165 
