time,session 
20,22945.139 
30,27206.563 
40,32959.02 
50,53329.794 
60,53329.794 
70,53329.794 
80,53329.794 
90,53329.794 
100,53329.794 
110,53329.794 
120,53329.794 
122,53329.794 
