time,tr_fluxo_navegacao,page,tr_fluxo_compra 
20,22941.136,1778.495, 
30,27204.993,2246.883,24499.348 
40,32957.225,2381.303,24499.348 
50,32957.225,2867.35,53328.156 
60,34737.157,3465.969,53328.156 
70,34737.157,3465.969,53328.156 
80,36561.025,3465.969,53328.156 
90,36561.025,3465.969,53328.156 
100,36561.025,3465.969,53328.156 
110,36561.025,3465.969,53328.156 
120,36561.025,3465.969,53328.156 
122,36561.025,3465.969,53328.156 
