time,finish_users_count,users_count 
0,0,7 
10,0,12 
20,3,18 
30,9,24 
40,14,29 
50,23,30 
60,27,40 
70,29,63 
80,43,81 
90,57,86 
100,70,86 
110,81,86 
120,86,86 
122,86,86 
