time,load@tsung_controller@3e43ea4093fb 
0,0.12109375 
10,0.171875 
20,0.140625 
30,0.12109375 
40,0.1015625 
50,0.16015625 
60,0.140625 
70,0.109375 
80,0.1015625 
90,0.23828125 
100,0.19921875 
110,0.328125 
120,0.28125 
122,0.23828125 
