time,size_sent,size_rcv 
0,0.3578125,2.0546875 
10,2.5515625,12.2125 
20,3.809375,19.0453125 
30,3.37109375,18.01953125 
40,3.97265625,19.5453125 
50,2.77734375,15.2296875 
60,1.18046875,6.784375 
70,5.63359375,30.26875 
80,9.025,48.41015625 
90,9.61171875,49.71484375 
100,5.56796875,27.153125 
110,4.51796875,20.74453125 
120,0.246875,2.58359375 
122,0,0 
