time,connected,users 
0,5,7 
10,12,12 
20,13,15 
30,14,15 
40,13,15 
50,8,7 
60,10,13 
70,33,34 
80,38,38 
90,29,29 
100,16,16 
110,5,5 
120,0,0 
122,0,0 
