time,finish_users_count,users_count 
0,0,0.7 
10,0,0.5 
20,0.3,0.6 
30,0.6,0.6 
40,0.5,0.5 
50,0.9,0.1 
60,0.4,1 
70,0.2,2.3 
80,1.4,1.8 
90,1.4,0.5 
100,1.3,0 
110,1.1,0 
120,0.5,0 
122,0,0 
