time,tr_fluxo_navegacao,page,tr_fluxo_compra 
20,0.3,4.1, 
30,0.5,4.2,0.1 
40,0.5,4.4,0 
50,0.3,3.6,0.5 
60,0.4,1.9,0.1 
70,0.2,7.6,0 
80,1.4,12.1,0 
90,1.3,11,0.1 
100,1.1,5.5,0.2 
110,0.3,4,0.8 
120,0.1,0.5,0.4 
122,0,0,0 
