time,session 
20,4708.239342012539 
30,3172.385360033804 
40,8095.803841290983 
50,13087.75445950015 
60,10000.38642058084 
70,468.89150000000063 
80,6447.5640209267 
90,7113.933513650567 
100,6064.139882889138 
110,7207.166038416522 
120,8012.931461076769 
122,0 
