time,tr_fluxo_navegacao,page,tr_fluxo_compra 
20,16375.476333333332,555.2775121951217, 
30,22391.6846,607.4441190476189,24499.348 
40,18414.4264,537.3976590909089,0 
50,24274.686666666665,704.9036388888888,37462.967599999996 
60,21160.182500000003,793.5014736842107,33890.18 
70,27525.8655,725.1104868421054,0 
80,15502.329785714286,518.8138760330579,0 
90,17181.30546153846,542.5289090909089,30024.199 
100,19625.294363636363,497.4785090909092,29535.556 
110,30176.969333333338,490.63935000000004,43586.934499999996 
120,28271.464,870.9346000000002,40833.30575 
122,0,0,0 
