time,tr_fluxo_navegacao,page,tr_fluxo_compra 
20,4707.2346319752205,493.8952279101762, 
30,3367.5756185759865,564.4812467512688,0 
40,8095.8850862667905,521.5370211415285,0 
50,8015.951330760617,651.4971273890858,13372.187724896905 
60,8416.23030465937,777.0972708559901,0.0 
70,469.0095000000001,590.028455876416,0 
80,6447.568160340369,456.3727674475061,0 
90,6536.036239604087,525.3305160796918,0.0 
100,5148.290182681594,466.5493333715631,3183.5329999999994 
110,3506.0903120676858,548.7568903701597,4215.475899036222 
120,0.0,412.7042531831239,6977.83240499585 
122,0,0,0 
