time,load@tsung_controller@3e43ea4093fb 
0,0.12109375 
10,0.12109375 
20,0.12109375 
30,0.12109375 
40,0.1015625 
50,0.1015625 
60,0.1015625 
70,0.1015625 
80,0.1015625 
90,0.1015625 
100,0.1015625 
110,0.1015625 
120,0.1015625 
122,0.1015625 
