time,freemem@tsung_controller@3e43ea4093fb 
0,6811.0703125 
10,6811.0703125 
20,6811.0703125 
30,6811.0703125 
40,6811.0703125 
50,6811.0703125 
60,6811.0703125 
70,6811.0703125 
80,6811.0703125 
90,6811.0703125 
100,6811.0703125 
110,6811.0703125 
120,6811.0703125 
122,6811.0703125 
